SMILES,Predicted_KIBA_Score,PubChem_CID,Rank
O=C(N1CCC(CC1)C1CCNC1)c1ccc2NC(=O)CCc2c1,11.905985,137858047.0,112
COc1cccc2[nH]c(cc12)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,11.904993,164776999.0,113
CC(C)(C)[C@H](NC(=O)C1CCCCC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C,11.903122,162712460.0,114
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CCC(=O)N2CCNCC2)NS(=O)(=O)Cc2ccccc2)cc1 |r|,11.901047,56677006.0,115
C#CCNC(=O)CNC(=O)CN(C1CCN(C(C)c2nccc3ccccc23)CC1)S(C)(=O)=O,11.897386,168939991.0,116
CN1CCC[C@H]1COc1nc2CN(CCc2c(n1)N1CCN([C@@H](CC#N)C1)C(=O)C(F)=C)c1cccc2cccc(Cl)c12,11.895649,138611145.0,117
CC(c1cccc2ccccc12)N1CCC(N(CC(=O)NCC(=O)NCC#N)S(C)(=O)=O)CC1,11.893904,168940058.0,118
NCCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1ccc(cc1)C(N)=N |r|,11.89385,49835415.0,119
CC(C)(C)[C@H](NS(C)(=O)=O)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COc1ccc(F)cc1F)C2(C)C |r|,11.893833,165393845.0,120
COC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COc1cccc(c1)C(F)(F)F)C2(C)C)C(C)(C)C |r|,11.893379,165393893.0,121
CN(CC#N)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,11.887987,169423145.0,122
FC1(F)CC1CS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,11.885965,169423132.0,123
COc1cccc2[nH]c(cc12)C(=O)Oc1cncc(Cl)c1,11.885088,156907340.0,124
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C=O |r|,11.883776,54592395.0,125
C[C@@H](N(C)Cc1ccc2[nH]ncc2c1)c1cccc2ccccc12 |r|,11.883176,168295676.0,126
CN(C1CC1)S(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,11.881766,169423133.0,127
CC1=C(C1C(=O)NCc1nc(no1)-c1cccc(c1)[N+]([O-])=O)c1ccccc1,11.88144,171350697.0,128
COc1cccc2[nH]c(cc12)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)N(C)c1ccccc21,11.881016,163373636.0,129
CN([C@@H](CC(C)(C)C)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21)C(=O)[C@H](CC1CC1)NS(=O)(=O)c1ccn(n1)-c1ccc(F)cc1,11.880057,164885498.0,130
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCn2cc(Cn3c(=O)[nH]\c(=N/c4cc5cn(C)nc5cc4Cl)n(Cc4cc(F)c(F)cc4F)c3=O)nn2)C(C)(C)C)cc1 |r|,11.873285,168511394.0,131
Cc1ccn2nc(O)c(C(=O)Nc3c(F)c(F)c(-c4ccccc4)c(F)c3F)c2c1,11.87182,145971993.0,132
[2H]C([2H])([2H])C(c1cccc2ccccc12)N3CCC(N(CC(=O)NCC(=O)NCC#C)S(C)(=O)=O)CC3,11.8706045,168939847.0,133
[O-][N+](=O)c1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1,11.868721,5005498.0,134
CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c1c(CCCC)oc2ccc(NS(C)(=O)=O)cc12,11.867219,208898.0,135
NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC2CCCCC2)NS(=O)(=O)Cc2ccccc2)cc1 |r|,11.865728,46899736.0,136
COC(=O)[C@@H]1N2[C@@H]([C@H](NC(=O)COc3ccccc3)C2=O)S(=O)(=O)C1(C)C,11.865172,21596430.0,137
FC1(F)CC(C1)\N=c1/nc(-c2ccccc2)n(s1)-c1ccccc1,11.86502,,138
[Na+].CC(C)C[C@H](NC(=O)OC1CC2(C1)CCN(CC2)C(=O)C(C)C)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(=O)C(O)S([O-])(=O)=O,11.864217,172676004.0,139
C#CCNC(=O)CNC(=O)CN(CCC(C)=O)C1CCN([C@H](C)c2cccc3ccccc23)CC1,11.863761,168940121.0,140
C[C@H](c1cccc2ccccc12)N1CCC(N(CC(=O)NCC(=O)NCC=O)S(C)(=O)=O)CC1,11.86186,168940176.0,141
CC(C)NS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,11.861066,169423158.0,142
CSc1n[nH]c(NC(=O)c2cccs2)c1S(=O)(=O)c1ccc(Cl)cc1,11.859718,2819269.0,143
[Na+].CC(C)C[C@H](NC(=O)OC1CC2(C1)CCN(CC2)C(=O)Cc1ccccc1)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(=O)C(O)S([O-])(=O)=O,11.857895,172676005.0,144
Clc1ccc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2c1,11.85628,156906859.0,145
CCC(CC)Oc1cc(Oc2ccccc2)c(C)cc1NC(=O)c1c(O)nn2ccccc12,11.856142,163299006.0,146
ClCC(=O)N1CCN([C@@H](C1)C(=O)NCc1ccccc1)S(=O)(=O)c1ccsc1,11.855663,169423194.0,147
"CC(C)C[C@@H]1NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CSC(=N2)c2cc(C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)C(C)C)C(C)C)C(N)=O)ccn2 |r,c:20|",11.854193,164624307.0,148
CC(C)C[C@H](N(C)C(=O)c1cc2c(Br)cccc2[nH]1)C(=O)N1C[C@]2(CC1C#N)C(=O)Nc1ccccc21,11.853556,165414301.0,149
Cc1cncc(-n2c(=O)c(Oc3cc(F)c(F)c(F)c3)c(-c3cc4ccccc4s3)n(CC#N)c2=O)c1,11.852365,176510495.0,150
Cn1nc(cc1OCC(=O)[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NS(=O)(=O)C(F)(F)F)C(C)(C)C)C2(C)C)C(F)(F)F |r|,11.850718,165393858.0,151
CCCc1c2c(n(n1)C)C(=O)NC(=N2)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC4)C,11.850529,5212.0,152
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCn2cc(Cn3c(=O)[nH]\c(=N/c4cc5cn(C)nc5cc4Cl)n(Cc4cc(F)c(F)cc4F)c3=O)nn2)C(C)(C)C)cc1 |r|,11.849293,168511396.0,153
ClCC(=O)N1CCN([C@H](C1)C(=O)NCc1ccccn1)S(=O)(=O)c1ccsc1,11.849213,169423213.0,154
Cn1cc(SCC(=O)N(Cc2ccccc2)Cc2ccccc2)c2ccccc12,11.848557,164621728.0,155
C[C@@H](NS(=O)(=O)c1cccc(c1)[N+]([O-])=O)c1cccc2ccccc12,11.847392,172459689.0,156
[Na+].CC(C)C[C@H](NC(=O)OC1CN(C1)C(=O)OC(C)(C)C)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(=O)C(O)S([O-])(=O)=O,11.847376,172676009.0,157
COC(=O)/C(C#N)=C/CNC(=O)CNC(=O)CN(C1CCN(C(C)c2cccc3ccccc23)CC1)S(C)(=O)=O,11.846989,168940129.0,158
CC(C)(C)[C@H](NS(=O)(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COc1cccc(Cl)c1)C2(C)C |r|,11.846776,165393942.0,159
ClCC(=O)N1CCN([C@@H](C1)C(=O)NCc1ccccn1)S(=O)(=O)c1ccsc1,11.846476,169423214.0,160
COCCN1CCN(C(=O)c2cc(Br)cc([N+](=O)[O-])c2NC2CN(C(=O)c3cncc(I)c3)CC2(F)F)CC1,11.844418,175680705.0,161
